F13,4,5,5,3,3,4,3,2,2,1,4,1,5,2,2,4,3,2,4,4,3,3,2,5,2,3,5,4,5,5,3,3,4,4,5,3,4,6,5,7,2,3,4,5,6,7,5,2,3,7,2,1,2,5,3,3,1,2,2,2,1,2,1,2,3,2,1,3,1,0,5,3,3,3,3,3,6,5,5,4,2,6,4,2,4,4,3,2,2,1,2,4,3,1,6,1,3,6,2,6
F14,3,1,2,3,3,2,0,1,1,0,4,2,6,0,2,2,5,0,3,2,0,2,1,0,1,3,1,2,4,3,0,1,1,2,1,1,4,1,1,2,1,1,0,3,2,2,2,1,2,4,1,1,1,1,0,3,3,3,3,1,4,0,2,1,2,0,3,1,1,2,1,2,1,2,2,6,0,2,3,0,2,2,1,3,2,1,1,2,1,3,3,1,1,2,2,1,1,3,1,3
F22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2632,0.0435,0.0,0.1429,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0,0.0,0.0,0.0,0.0,0.0
F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F37,1,1,0,1,0,1,1,0,1,0,2,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,2,1,0,1,0,1,3,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,2,0,1,0,2,0,1,0,1,0,1,1,1,0,1,2,1,1
F8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,0,8,4,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0
F35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
F10,2,5,1,2,3,5,1,2,0,2,1,2,6,1,8,3,2,0,7,1,1,1,1,1,1,1,4,1,2,1,1,2,3,1,2,2,4,3,3,6,2,2,2,7,5,1,2,8,3,6,3,3,1,11,4,7,1,5,5,4,6,3,4,3,11,1,7,4,3,2,3,5,12,5,8,4,3,3,3,6,5,8,4,4,4,6,5,5,9,1,8,6,8,7,0,2,1,4,6,1
F11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
