F21,0.1111,0.1875,0.0556,0.1667,0.0526,0.1875,0.1667,0.0769,0.1333,0.0556,0.25,0.1111,0.1053,0.2857,0.0556,0.0,0.1111,0.125,0.0556,0.0625,0.2,0.0,0.2,0.0,0.0,0.0,0.1429,0.0,0.0625,0.05,0.0714,0.1429,0.2083,0.0667,0.1818,0.0714,0.1667,0.1154,0.0714,0.0556,0.1111,0.2,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0345,0.0,0.2,0.0,0.0,0.0769,0.0435,0.0,0.0952,0.0,0.1429,0.087,0.0714,0.0,0.0,0.0,0.2222,0.2222,0.0,0.0,0.0,0.0714,0.1818,0.0833,0.0526,0.0,0.12,0.0455,0.0435,0.087,0.125,0.1579,0.0769,0.1739,0.0952,0.1739,0.069,0.1818,0.2105,0.1667,0.05,0.1053,0.0,0.1,0.0556,0.0,0.1667,0.1111,0.15,0.0714,0.0
F14,3,1,2,2,3,2,0,1,1,0,4,2,6,0,2,2,5,0,4,2,0,2,1,0,1,3,1,2,3,3,0,1,2,2,1,1,4,1,1,2,1,1,0,3,2,2,2,1,2,4,2,1,1,1,0,3,3,3,3,1,4,0,2,1,2,0,3,1,1,2,1,2,1,2,2,5,0,4,3,0,2,1,1,3,2,1,1,2,1,3,4,1,1,3,2,1,1,3,1,3
F13,4,5,5,3,4,4,3,2,3,1,3,2,5,2,3,4,4,2,4,5,4,3,2,6,2,4,5,4,5,5,4,3,4,4,5,4,7,7,5,7,2,3,5,5,6,9,5,2,3,6,2,1,2,6,2,3,1,2,2,2,2,3,1,2,3,2,1,3,2,1,5,3,4,4,3,3,6,4,5,4,2,6,7,2,2,5,3,2,2,3,2,4,3,1,7,1,3,6,3,6
F16,2,3,1,3,1,3,2,1,2,1,5,1,2,4,1,0,2,1,1,1,3,0,2,0,0,0,2,0,1,1,1,1,5,1,2,1,7,3,1,1,1,2,1,0,0,0,0,0,0,1,0,2,0,0,1,1,0,2,0,2,2,1,0,0,0,2,2,0,0,0,1,4,3,1,0,3,1,1,2,2,3,2,4,2,4,2,4,4,2,1,2,0,2,1,0,1,1,3,1,0
F22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2381,0.0435,0.0345,0.1364,0.0,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,0.0,0.0,0.0,0.0,0.0
F29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,1,0,0,0,8,4,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,2,0
F37,1,1,0,1,0,1,1,0,1,0,2,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,2,1,0,1,0,1,3,0,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,2,0,1,0,1,0,1,0,1,0,1,1,1,0,1,2,1,1
F17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
